title,viewCount,likeCount,commentCount,dislikeCount,human_labeled,title_char_len,title_word_len,title_clean,feat_char_len,feat_word_count,feat_exclaim,feat_question,feat_has_number,feat_caps_ratio,label
বাঁচার সব পথ বন্ধ সাকলায়েন! পরীর সাথে কুকাম করে একদম ফেঁসে গেল। হচ্ছে কঠিন শাস্তি! Pori Moni News,26136,414,30.0,27.0,Clickbait,97,18,বাঁচার পথ বন্ধ সাকলায়েন পরীর সাথে কুকাম একদম ফেঁসে গেল হচ্ছে কঠিন শাস্তি,97,18,2,0,0,0.030927835051546393,1
পরীর আরও এক খারাপ ভিডিও ভাইরাল! ফেঁসে গেল পরী ও তার ডিবি প্রেমিক সাকলায়েন! অবাক হচ্ছে দেশের মানুষ,39655,567,30.0,41.0,Clickbait,97,18,পরীর আরও এক খারাপ ভিডিও ভাইরাল ফেঁসে গেল পরী ডিবি প্রেমিক সাকলায়েন অবাক হচ্ছে দেশের মানুষ,97,18,2,0,0,0.0,1
আবারো রিমান্ডে পরীমনি! চিৎকার করে আদালতে যা বললো পরী ও তার নানা। তারপরও ছাড় পেল না। Pori Moni News,72853,964,25.0,77.0,Clickbait,98,19,আবারো রিমান্ডে পরীমনি চিৎকার আদালতে যা বললো পরী নানা তারপরও ছাড় পেল,98,19,1,0,0,0.030612244897959183,1
সর্বনাশ! মা কে বাইরে রেখে মেয়েকে থানার ভিতরে ধ*র্ষণ চেষ্টা পুলিশের! বিচারের দাবিতে উত্তপ্ত সারাদেশ,38879,595,44.0,31.0,Clickbait,98,15,সর্বনাশ মা কে বাইরে রেখে মেয়েকে থানার ভিতরে র্ষণ চেষ্টা পুলিশের বিচারের দাবিতে উত্তপ্ত সারাদেশ,98,15,2,0,0,0.0,1
বেরিয়ে এলো ভয়ঙ্কর তথ্য! পরীর গোপন রুমে যেত ২০ অনেক পুলিশ। ও বললো প্রেমিক সাকলায়েনকে নিয়ে,33100,374,14.0,18.0,Clickbait,88,16,বেরিয়ে এলো ভয়ঙ্কর তথ্য পরীর গোপন রুমে যেত ২০ পুলিশ বললো প্রেমিক সাকলায়েনকে নিয়ে,88,16,1,0,1,0.0,1
এইমাত্র! রিমান্ডে কঠিন মাইর খেয়ে পুলিশ প্রেমিক সাকলায়েনকে নিয়ে সব ফাঁস করল পরীমনি! Pori Moni News,445209,6860,115.0,690.0,Clickbait,99,16,এইমাত্র রিমান্ডে কঠিন মাইর খেয়ে পুলিশ প্রেমিক সাকলায়েনকে নিয়ে ফাঁস করল পরীমনি,99,16,2,0,0,0.030303030303030304,1
প্রতারণায় সাহেদকেও হার মানানো ঈশিতা কঠিন রিমান্ডে! ভুয়া পরিচয়ে হাতিয়ে নিয়েছে কোটি কোটি টাকা,23064,352,15.0,19.0,Clickbait,91,14,প্রতারণায় সাহেদকেও হার মানানো ঈশিতা কঠিন রিমান্ডে ভুয়া পরিচয়ে হাতিয়ে নিয়েছে কোটি কোটি টাকা,91,14,1,0,0,0.0,1
এইমাত্র! পরীমনির সকল নোংরামি ফাঁস করলো তার ড্রাইবার। নিজের চোখে পরী ম্যাডামের অনেক নষ্টামি দেখেছি,225617,1920,40.0,160.0,Clickbait,98,15,এইমাত্র পরীমনির সকল নোংরামি ফাঁস করলো ড্রাইবার নিজের চোখে পরী ম্যাডামের নষ্টামি দেখেছি,98,15,1,0,0,0.0,1
গরম খবর! ওঠে গেল লকডাউন জয় হলো জনগনের! খুশিতে রাজপথে নাচছে মানুষ! চলবে সবকিছু। Lockdown News,13146,376,38.0,29.0,Clickbait,93,16,গরম খবর ওঠে গেল লকডাউন জয় জনগনের খুশিতে রাজপথে নাচছে মানুষ চলবে সবকিছু,93,16,3,0,0,0.021505376344086023,1
লকডাউনের ডিউটি ফেলে দিনদুপুরে পরকীয়ার সময় ধরা খেল পুলিশ! কঠিন গণধোলাই দিলো জনতা। Bangla News,80772,1491,34.0,83.0,Clickbait,92,15,লকডাউনের ডিউটি ফেলে দিনদুপুরে পরকীয়ার সময় ধরা খেল পুলিশ কঠিন গণধোলাই দিলো জনতা,92,15,1,0,0,0.021739130434782608,1
নাউযুবিল্লাহ! মসজিদের ভিতর অর্ধনগ্ন তরুণী নিয়ে টিকটক বানালো তরুণ। ক্ষেপেছে সারাদেশের মুসল্লিরা,22809,547,106.0,48.0,Clickbait,94,12,নাউযুবিল্লাহ মসজিদের ভিতর অর্ধনগ্ন তরুণী নিয়ে টিকটক বানালো তরুণ ক্ষেপেছে সারাদেশের মুসল্লিরা,94,12,1,0,0,0.0,1
কত বড় নষ্টা পরীমনি! দেখুন দুবাইয়ে যার সাথে রাত কাটিয়ে ৪ কোটির গাড়ি নেয় পরী! রিমান্ডে নিজেই ফাঁস করলো,132718,1583,65.0,132.0,Clickbait,100,19,কত বড় নষ্টা পরীমনি দুবাইয়ে যার সাথে রাত কাটিয়ে কোটির গাড়ি নেয় পরী রিমান্ডে নিজেই ফাঁস করলো,100,19,2,0,1,0.0,1
নষ্টামিতে পরীমনিকেও হার মানিয়েছে ডায়না! এক সাথে ৫০টা প্রেম করে হাতিয়ে নিয়েছে কোটি কোটি টাকা,73463,1072,24.0,55.0,Clickbait,91,15,নষ্টামিতে পরীমনিকেও হার মানিয়েছে ডায়না এক সাথে ৫০টা প্রেম হাতিয়ে নিয়েছে কোটি কোটি টাকা,91,15,1,0,1,0.0,1
ব্রেকিং নিউজ! পরীর সাথে টানা ১৮ ঘন্টা নষ্টামি করা সেই ডিবি সাকলায়েনকে কঠিন শাস্তি দিলো সিআইডি,83370,1335,83.0,90.0,Clickbait,93,16,ব্রেকিং নিউজ পরীর সাথে টানা ১৮ ঘন্টা নষ্টামি করা ডিবি সাকলায়েনকে কঠিন শাস্তি দিলো সিআইডি,93,16,1,0,1,0.0,1
আল্লাহ বাঁচাও! গোপালগঞ্জে মুহূর্তেই বিলীন পুরো গ্রাম চলে গেল নদীগর্ভে। পানিতে ভাসছে হাজারো মানুষ,52533,528,24.0,32.0,Clickbait,96,14,আল্লাহ বাঁচাও গোপালগঞ্জে মুহূর্তেই বিলীন পুরো গ্রাম চলে গেল নদীগর্ভে পানিতে ভাসছে হাজারো মানুষ,96,14,1,0,0,0.0,1
সিসি ফুটেজ ভাইরাল! দেখুন পরীমনির গোপন রুমে ১৮ ঘণ্টা যা যা করলো পুলিশ কমিশনার! সমালোচনার ঝড়।Pori Moni,231506,2176,72.0,235.0,Clickbait,100,17,সিসি ফুটেজ ভাইরাল পরীমনির গোপন রুমে ১৮ যা যা করলো পুলিশ কমিশনার সমালোচনার ঝড়,100,17,2,0,1,0.02,1
সব ফাঁস! দুবাইয়ে যে নেতার সাথে ১৭ রাত কাটিয়ে ১৫ লাখ টাকা নিয়েছিল পরী। দেখুন সেই নেতার গোপন পরিচয়,195273,2101,63.0,161.0,Clickbait,96,19,ফাঁস দুবাইয়ে নেতার সাথে ১৭ রাত কাটিয়ে ১৫ লাখ টাকা নিয়েছিল পরী নেতার গোপন পরিচয়,96,19,1,0,1,0.0,1
হায়রে জানোয়ার! পরীমনিকে সহ ২০০ নায়িকাকে ভোগ করেছে গডফাদার রাজ! বড় বড় নেত্রীরাও ছিল বেড পার্টনার,80571,1316,119.0,82.0,Clickbait,95,16,হায়রে জানোয়ার পরীমনিকে সহ ২০০ নায়িকাকে ভোগ করেছে গডফাদার রাজ বড় বড় নেত্রীরাও বেড পার্টনার,95,16,2,0,1,0.0,1
কত বড় সাহস! গাজিপুরে গার্মেন্টসে নামাজ নিষিদ্ধ করলো মালিক! পুলিশের উপর কঠিন আক্রমণ শ্রমিকদের,133874,3252,229.0,246.0,Clickbait,92,14,কত বড় সাহস গাজিপুরে গার্মেন্টসে নামাজ নিষিদ্ধ করলো মালিক পুলিশের কঠিন আক্রমণ শ্রমিকদের,92,14,2,0,0,0.0,1
ওরে বাপরে! প্রতিরাতেই ৮/১০ জন খদ্দের লাগতো পরীমনির! সবমিলিয়ে ৩০০ খদ্দর পরীর দেখুন তাদের পরিচয়,46324,640,45.0,41.0,Clickbait,93,15,ওরে বাপরে প্রতিরাতেই ১০ জন খদ্দের লাগতো পরীমনির সবমিলিয়ে ৩০০ খদ্দর পরীর তাদের পরিচয়,93,15,2,0,1,0.0,1
এক রাতেই শেষ পরীমনি! ১ম রাতের রিমান্ডেই কেঁদে কেঁদে সব কুকর্ম ফাঁস করলো পরী। Pori Moni Remand,625082,8025,486.0,782.0,Clickbait,93,17,এক রাতেই পরীমনি ১ম রাতের রিমান্ডেই কেঁদে কেঁদে কুকর্ম ফাঁস করলো পরী,93,17,1,0,1,0.03225806451612903,1
"হায় আল্লাহ! লকডাউন না মেনে পুলিশকে রাস্তায় পিষে মারলো চালক! সবাই চেয়ে দেখলো, কেউ পারলোনা বাঁচাতে",778593,9274,310.0,712.0,Clickbait,96,16,হায় আল্লাহ লকডাউন মেনে পুলিশকে রাস্তায় পিষে মারলো চালক সবাই চেয়ে দেখলো কেউ পারলোনা বাঁচাতে,96,16,2,0,0,0.0,1
দেখুন যার সাথে প*র্নো ভিডিও বানাতো পরীমনি! এইমাত্র গ্রেফতার সেই প্রভাবশালী গডফাদার। Pori Moni News,77561,1101,48.0,80.0,Clickbait,99,15,যার সাথে র্নো ভিডিও বানাতো পরীমনি এইমাত্র গ্রেফতার প্রভাবশালী গডফাদার,99,15,1,0,0,0.030303030303030304,1
এই বিছানায় প*র্নো ভিডিওর শুটিং করতো পরীমনি! বাসা থেকে উদ্ধার অসংখ্য সে*ক্সটয়। Pori Moni Arrest,471412,4953,151.0,480.0,Clickbait,95,15,বিছানায় র্নো ভিডিওর শুটিং করতো পরীমনি বাসা উদ্ধার অসংখ্য ক্সটয়,95,15,1,0,0,0.031578947368421054,1
পরীমনির টয়লেট পেলো কনডম আর কনডম সাথে মডের আলমারী।যা দেখে অবাক র‍্যাব ও অবাক দেশবাসী।Pori Moni Arrest,587480,9028,624.0,917.0,Clickbait,100,17,পরীমনির টয়লেট পেলো কনডম কনডম সাথে মডের আলমারী যা দেখে অবাক ্যাব অবাক দেশবাসী,100,17,0,0,0,0.03,1
গরম খবর! মদ সহ অর্ধনগ্ন অবস্থায় র‍্যাবের হাতে গ্রেফতার পরীমনি। দেয়া হবে ডিম থেরাপী। Pori Moni Arrest,86290,1296,100.0,110.0,Clickbait,100,17,গরম খবর মদ সহ অর্ধনগ্ন অবস্থায় ্যাবের হাতে গ্রেফতার পরীমনি দেয়া ডিম থেরাপী,100,17,1,0,0,0.03,1
হাহাহা! ডাবল ভাড়ায় পুলিশের গাড়িতে যাত্রী পরিবহন! পথেই আটকে দিলো আর্মিরা। অবাক প্রশাসন ও আর্মিরা,24774,465,16.0,22.0,Clickbait,95,15,হাহাহা ডাবল ভাড়ায় পুলিশের গাড়িতে যাত্রী পরিবহন পথেই আটকে দিলো আর্মিরা অবাক প্রশাসন আর্মিরা,95,15,2,0,0,0.0,1
ব্রেকিং! মডেল পিয়াসার ১৭ টি নষ্টামির ভিডিও ফাঁস! ও দেখুন তার আন্ডারে কাজ করতেন যে ১০০ সুন্দরী,113888,1356,34.0,80.0,Clickbait,93,17,ব্রেকিং মডেল পিয়াসার ১৭ টি নষ্টামির ভিডিও ফাঁস আন্ডারে কাজ করতেন ১০০ সুন্দরী,93,17,2,0,1,0.0,1
রিমান্ডে ডিম খেয়ে সব ফাঁস করলো পিয়াসা! দেখুন তার খদ্দেরের তালিকায় আছে যেসব নেতার নাম। Model Piyasa,52537,628,23.0,35.0,Clickbait,100,17,রিমান্ডে ডিম খেয়ে ফাঁস করলো পিয়াসা খদ্দেরের তালিকায় যেসব নেতার নাম,100,17,1,0,0,0.02,1
ব্রেকিং! আবারো বাড়লো লকডাউন! রাস্তায় পেলেই দেয়া হবে জেল! টিকা নিয়ে মালয়েশিয়া থেকে যা বললেন আজহারী,12715,325,9.0,14.0,Clickbait,97,16,ব্রেকিং আবারো বাড়লো লকডাউন রাস্তায় পেলেই দেয়া জেল টিকা নিয়ে মালয়েশিয়া যা বললেন আজহারী,97,16,3,0,0,0.0,1
হে আল্লাহ রক্ষা করো! চোখের পলকে নদীর বুকে বিলীন ৫০ বাড়ি। ধ্বংসের মুখে কক্সবাজার। Flood News BD 2021,38591,428,16.0,25.0,Clickbait,99,18,হে আল্লাহ রক্ষা করো চোখের পলকে নদীর বুকে বিলীন ৫০ বাড়ি ধ্বংসের মুখে কক্সবাজার,99,18,1,0,1,0.04040404040404041,1
পুরুষদের বাসায় ডেকে জোর করে নষ্টামি ও ভিডিও করতো পিয়াসা! তারপর আদায় করতো লাখ লাখ টাকা। Bangla News,47865,646,56.0,32.0,Clickbait,98,18,পুরুষদের বাসায় ডেকে জোর নষ্টামি ভিডিও করতো পিয়াসা তারপর আদায় করতো লাখ লাখ টাকা,98,18,1,0,0,0.02040816326530612,1
মডেল পিয়াসা ও মৌয়ের খেলা শেষ! রিমান্ডে পুলিশের খেলা শুরু! ৩দিনের কঠিন রিমান্ডে এই ২ নষ্ট নারী,52956,816,24.0,53.0,Clickbait,95,17,মডেল পিয়াসা মৌয়ের খেলা রিমান্ডে পুলিশের খেলা শুরু ৩দিনের কঠিন রিমান্ডে নষ্ট নারী,95,17,2,0,1,0.0,1
ব্রেকিং! গাজীপুরে চলছে পুলিশের সাথে শ্রমিকদের যুদ্ধ! গাড়ি চালুর দাবিতে রাজপথ কাঁপাচ্ছে শ্রমিকরা,50066,1011,25.0,53.0,Not Clickbait,95,13,ব্রেকিং গাজীপুরে চলছে পুলিশের সাথে শ্রমিকদের যুদ্ধ গাড়ি চালুর দাবিতে রাজপথ কাঁপাচ্ছে শ্রমিকরা,95,13,2,0,0,0.0,0
ট্রাকের মধ্যে সবজির বস্তা খুলতেই বেরিয়ে এলো যাত্রী! চমকে উঠলো আর্মিরা! লকডাউনে বিপাকে শ্রমিকরা,19553,224,10.0,16.0,Clickbait,94,14,ট্রাকের সবজির বস্তা খুলতেই বেরিয়ে এলো যাত্রী চমকে উঠলো আর্মিরা লকডাউনে বিপাকে শ্রমিকরা,94,14,2,0,0,0.0,1
বাংলাদেশি নারীকে সীমান্তে আটকে সারারাত ভোগ করলো ভারতীয় পুলিশ। ক্ষেপেছে পুরো বাংলাদেশ। Bangla News,208462,3001,120.0,234.0,Clickbait,97,14,বাংলাদেশি নারীকে সীমান্তে আটকে সারারাত ভোগ করলো ভারতীয় পুলিশ ক্ষেপেছে পুরো বাংলাদেশ,97,14,0,0,0,0.020618556701030927,1
লকডাউন মানিনা বলেই পুলিশের উপর গাড়ি তুলে দিলো চালক! সাথে সাথেই মারা গেল সেই পুলিশ। Lockdown News BD,52988,810,49.0,40.0,Clickbait,99,18,লকডাউন মানিনা বলেই পুলিশের গাড়ি তুলে দিলো চালক সাথে সাথেই মারা গেল পুলিশ,99,18,1,0,0,0.04040404040404041,1
ব্রেকিং! ৬ দিনের কঠিন রিমান্ডে চিত্রনায়িকা একা! বুয়াকে মারতে গিয়ে ইয়াবাসহ ধরা খেল পুলিশের হাতে,72876,906,18.0,49.0,Clickbait,94,15,ব্রেকিং দিনের কঠিন রিমান্ডে চিত্রনায়িকা একা বুয়াকে মারতে গিয়ে ইয়াবাসহ ধরা খেল পুলিশের হাতে,94,15,2,0,1,0.0,1
গ্রেফতার সেই নষ্ট ফারজানা! টিকটকে যৌ*ন হয়রানি করে হাতিয়ে নিতো লাখ লাখ টাকা। নেয়া হলো রিমান্ডে,23746,406,60.0,35.0,Clickbait,93,16,গ্রেফতার নষ্ট ফারজানা টিকটকে যৌ হয়রানি হাতিয়ে নিতো লাখ লাখ টাকা নেয়া রিমান্ডে,93,16,1,0,0,0.0,1
"ব্রেকিং! ওঠে যাচ্ছে লকডাউন! শ্রমিকদের বিক্ষোভের মুখে অবশেষে বাস, লঞ্চ সব ছাড়তে বাধ্য হলো প্রসাশন",101818,1873,60.0,126.0,Clickbait,97,15,ব্রেকিং ওঠে যাচ্ছে লকডাউন শ্রমিকদের বিক্ষোভের মুখে অবশেষে বাস লঞ্চ ছাড়তে বাধ্য প্রসাশন,97,15,2,0,0,0.0,1
দিশেহারা পুলিশ সেনাবাহিনী!কোথাও কেউ মানছেনা লকডাউন! মৌমাছির মতো ঢাকার পথে ছুটছে মানুষ! Lockdown News,36889,757,47.0,57.0,Clickbait,100,14,দিশেহারা পুলিশ সেনাবাহিনী কোথাও কেউ মানছেনা লকডাউন মৌমাছির মতো ঢাকার পথে ছুটছে মানুষ,100,14,3,0,0,0.02,1
আমি আ.লীগের লোক! এই বলে চিৎকার করে জজকে যে হুমকি দিলো হেলেনা। অবাক উপস্থিত সবাই। Helena Jahangir,144586,1671,56.0,100.0,Clickbait,96,17,লীগের লোক বলে চিৎকার জজকে হুমকি দিলো হেলেনা অবাক উপস্থিত সবাই,96,17,1,0,0,0.020833333333333332,1
এইমাত্র! নাতনি হেলেনাকে ছেড়ে দিতে র‍্যাবকে হুমকি দিলো সেফুদা! বললো আমার ধৈর্যের বাঁধ ভেঙে গেছে,65286,882,22.0,47.0,Clickbait,94,15,এইমাত্র নাতনি হেলেনাকে ছেড়ে দিতে ্যাবকে হুমকি দিলো সেফুদা বললো আমার ধৈর্যের বাঁধ ভেঙে গেছে,94,15,2,0,0,0.0,1
এইমাত্র! রিমান্ডে কড়া মাইর খেয়ে গডফাদারদের নাম ফাঁস করলো হেলেনা! যাদের পরিচয় জানলে চমকে উঠবেন।Helena,148329,1382,88.0,107.0,Clickbait,100,15,এইমাত্র রিমান্ডে কড়া মাইর খেয়ে গডফাদারদের নাম ফাঁস করলো হেলেনা যাদের পরিচয় জানলে চমকে উঠবেন,100,15,2,0,0,0.01,1
সব নষ্টামি ফাঁস! দেখুন যেসব নেতাদের সাথে রাতে ক্লাবে যেত হেলেনা জাহাঙ্গীর। ব্রিফিংয়ে যা বললো র‍্যাব,52711,655,26.0,41.0,Clickbait,99,16,নষ্টামি ফাঁস যেসব নেতাদের সাথে রাতে ক্লাবে যেত হেলেনা জাহাঙ্গীর ব্রিফিংয়ে যা বললো ্যাব,99,16,1,0,0,0.0,1
এইমাত্র! পরকীয়া করার সময় হাতেনাতে ধরা খেল পুলিশ! ধরে কঠিন ধোলাই দিল এলাকাবাসী। Ruposhi Bangla News,126999,1430,30.0,97.0,Clickbait,98,16,এইমাত্র পরকীয়া করার সময় হাতেনাতে ধরা খেল পুলিশ ধরে কঠিন ধোলাই দিল এলাকাবাসী,98,16,2,0,0,0.030612244897959183,1
গরম খবর! বিদেশি মদ সহ গ্রেফতার আ.লীগের বিতর্কিত নেত্রী হেলেনা জাহাঙ্গীর! দেখুন কে এই বিতর্কিত নেত্রী,128784,1645,67.0,114.0,Clickbait,100,16,গরম খবর বিদেশি মদ সহ গ্রেফতার লীগের বিতর্কিত নেত্রী হেলেনা জাহাঙ্গীর কে বিতর্কিত নেত্রী,100,16,2,0,0,0.0,1
এইমাত্র! নওগাঁয় দোকান বন্ধ করতে বলায় ২ পুলিশকে পিটিয়ে এলাকা ছাড়া করলো দোকানদার। সাহস দেখে অবাক সবাই,80299,1127,52.0,62.0,Clickbait,99,17,এইমাত্র নওগাঁয় দোকান বন্ধ করতে বলায় পুলিশকে পিটিয়ে এলাকা ছাড়া করলো দোকানদার সাহস দেখে অবাক সবাই,99,17,1,0,1,0.0,1
লকডাউন না মেনে টিকটক করছিলো রাস্তায়! আর্মিরা দিলো কঠিন শাস্তি! কান ধরিয়ে বানালো মোরগ ও ব্যাঙ,13807,334,25.0,24.0,Clickbait,92,16,লকডাউন মেনে টিকটক করছিলো রাস্তায় আর্মিরা দিলো কঠিন শাস্তি কান ধরিয়ে বানালো মোরগ ব্যাঙ,92,16,2,0,0,0.0,1
ইন্নালিল্লাহ! ছেলের জন্য নিজের আইসিইউ ছেড়ে জীবন কোরবানি দিলেন মা। হৃদয়বিদারক ঘটনায় কাঁদছে দেশবাসী,201771,1928,72.0,123.0,Clickbait,97,14,ইন্নালিল্লাহ ছেলের নিজের আইসিইউ ছেড়ে জীবন কোরবানি দিলেন মা হৃদয়বিদারক ঘটনায় কাঁদছে দেশবাসী,97,14,1,0,0,0.0,1
